Text,Label
"উত্তরবঙ্গের বন্যায় আমরা চুপ কেন, আসুন বন্যার্ত মানুষের পাশে দাঁড়াই।",donation
আজকের শেরপুর,donation
"টানা চারদিনের বৃষ্টি ও পাহাড়ি ঢলে ভয়াবহ বন্যার কবলে আমাদের জেলা শহর শেরপুরের  ঝিনাইগাতী, নালিতাবাড়ী ও শ্রীবর্দী উপজেলা। পরিস্থিতি ক্রমশই খারাপ হচ্ছে। ইতোমধ্যে জানমালের ব্যাপক ক্ষয়ক্ষতি হয়েছে।
এমন পরিস্থিতিতে যে যেভাবে পারেন, যতটুকু পারেন, শ্রম দিয়ে,অর্থ দিয়ে,পরামর্শ দিয়ে শেরপুরবাসীর পাশে দাড়ান। 
আমরা শেরপুর জেলা ছাত্র কল্যাণ,নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় থেকে  বানভাসি এই মানুষগুলোর পাশে দাঁড়ানোর জন্য আপনাদের সহযোগিতা কামনা করছি। এই বিপদ কাটানোর জন্য সকলের অংশগ্রহণ প্রয়োজন,প্রয়োজন অনেক অর্থের।  সবাই এগিয়ে আসুন। সকলের সার্বিক সহযোগিতা ছাড়া এই বিপর্যয় কাটিয়ে উঠা অসম্ভব। আপনাদের পাঠানো অর্থের মাধ্যমে জরুরি শুকনো খাবার,বিশুদ্ধ পানি,রেসকিউ সরঞ্জাম ইত্যাদির ব্যাবস্থা করা হবে।দেশের এই দূর্যোগকালীন সময়ে আপনাদের সহায়তা একান্ত কাম্য। 
সহায়তা পাঠানোর মাধ্যমে-

বিকাশ-
 01728215421
নগদ- 
01796391461
রকেট-
017834552896",donation
"বন্যার্ত পরিবারের পুনর্বাসনে বন্যার্তদের পাশে নোবিপ্রবিয়ান  

আজ বন্যায় ক্ষতিগ্রস্ত দুঃস্থ এক পরিবারকে একটি ঘর নির্মাণের জন্য ২.৫ বাঁধ টিন ও মচকা কিনে দেওয়া হয়েছে।
স্থান : রমনিরহাট,আমিন বাজার,বেগমগঞ্জ,নোয়াখালী।

এবং অন্য একটি পরিবারকে ৩ বাঁধ টিন কিনে দেওয়া হয়েছে।
স্থান : দাসারহাট,লক্ষীপুর।",donation
"কুড়িগ্রাম, লালমনিরহাট, রংপুর সহ উত্তরবঙ্গের বন্যাকবলিত স্থানের আপডেট জানাতে পারেন বন্যার্তদের পাশে নোবিপ্রবিয়ান গ্রুপে। মিডিয়ার কভারেজ একান্ত কাম্য।

বাংলাদেশের মানুষ যেন থাকে নিরাপদে!

@everyone",donation
"বন্যার্ত পরিবারের পুনর্বাসনে বন্যার্তদের পাশে নোবিপ্রবিয়ান। 

আজ বন্যায় ক্ষতিগ্রস্ত দুস্থ এক পরিবারকে একটি ঘর নির্মাণের জন্য ২ বান টিন ও প্রয়োজনীয় কিছু সামগ্রী কিনে দেওয়া হয়েছে। 

স্থান :
জয়কৃষ্ণপুর,হাসানহাট,বেগমগঞ্জ,নোয়াখালী।",donation
"বন্যার্তদের পাশে নোবিপ্রবিয়ান প্রজেক্টের মাধ্যমে  বেগমগঞ্জ উপজেলার হাফিজুর গ্রামে পৌঁছে গিয়েছে উপহার। প্রায় ২২ টা পরিবারের জন্য চাল, ডাল, পেয়াজ, লবণ, তেল সামগ্রী স্থানীয়দের সহযোগিতায় ক্ষতিগ্রস্ত পরিবারের কাছে হস্তান্তর করা হয়েছে। ধন্যবাদ।",donation
"⭕ আসসালামু আলাইকুম। একটি গুরুত্বপূর্ণ বিষয় নিয়ে সবার সহযোগিতা চাচ্ছি। 

বন্যার্ত অনেকগুলো মানুষের পুনর্বাসনের উদ্দেশ্যে একটি উদ্যোগে প্রায় ৬০ জন আবেদন করেছিলো এই নোয়াখালী থেকে। তবে কারা প্রকৃতপক্ষে দাবিদার তার সঠিক তথ্যের জন্য আপনার সবার সহযোগিতা কাম্য। আমার কাছে উক্ত ৬০ জনের ঠিকানা এবং ফোন নাম্বার আছে। নোয়াখালীর বিভিন্ন অঞ্চলে আপনাদের আশেপাশের ঠিকানাগুলোতে আমরা সারেজমিনে গিয়ে অথবা অন্য যেকোনোভাবে আপনারা আমাকে সঠিক তথ্যগুলো দিয়ে সাহায্য করতে পারবেন কি? 

আপনারা যারা আগ্রহী কমেন্ট বক্সে কষ্ট করে আপনাদের উপস্থিতি জানান দিন, আমি আপনাদের সাথে যোগাযোগ করবো। বেগমগঞ্জ, সোনাইমুড়ী, সদর এভাবে যে যেখানে পারবেন সেভাবে একটু কাজ করতে হবে।",donation
"বন্যায় বাড়িঘর ক্ষতিগ্রস্ত হওয়া বন্যার্তদের পূনর্বাসন কাজে বন্যার্তদের পাশে নোবিপ্রবিয়ান  ❤️

বন্যার ফলে ক্ষতিগ্রস্ত দুস্থ এক পরিবারের দুই রুমের একটি ঘর নির্মাণের জন্য কিনে দেয়া হয়েছে টিন ও কিছু প্রয়োজনীয় সামগ্রী।

স্থান :
মাছিমপুর ক্লিনিক এর পার্শ্ববর্তী এলাকা,
সোনাপুর-কবিরহাট রোড।",donation
,donation
"#শেয়ার_করুন🙏
নোয়াখালীতে ছয় সদস্য বিশিষ্ট আব্দুল মতিনের পরিবারটির থাকার জায়গা সহ সমস্তকিছু আগুনে পুড়ে তছনছ।🥲
ময়মনসিংহ যুব সমাজ কল্যাণ 🤝

ছয় সদস্য বিশিষ্ট আব্দুলমতিনের পরিবারটির থাকার জায়গা সহ সমস্তকিছু আগুনে পুড়ে তছনছ। বর্তমানে তার বৃদ্ধ মা সহ ৬সদস্য বিশিষ্ট পরিবারটি বড্ড অসহায়🥲
বিত্তবান ব্যক্তিদের নিকট অনুরোধ আগুনে পুড়ে যাওয়া নিঃস্ব অসহায় পরিবারের পাশে সরাসরি ১০০/২০০ টাকা তাদের নাম্বারে পাঠিয়ে যথাসাধ্য সকলেই সহযোগীতায় হাত বাড়িয়ে দিন🙏
#Bekashঃ_01314648457 (personal)

অনুরোধক্রমেঃ- 
ময়মনসিং যুব সমাজ কল্যাণ সংস্থা🤝",donation
