Text,Label
"সত্যি বলতে, পাকিস্তান সুপার লিগে  রিশাদ হোসেনের ভালো করা কোনো অপ্রত্যাশিত ঘটনা নয়। কারণ রিশাদ একেবারেই আলাদা ধাঁচের লেগ-স্পিনার, যাঁর মধ্যে রয়েছে সম্ভাবনার এক বিশাল বিস্তার।
প্রথমেই বলতে হয় তাঁর বল ডেলিভারির উচ্চতা নিয়ে রিশাদের বল রিলিজিং পয়েন্টটি অসাধারণ রকম উঁচুতে।",emergency
"শুধু বোলিংয়েই নয়, ব্যাট হাতেও রিশাদের ভুমিকা ছোট নয়। বিশেষ করে স্পিন বোলারদের বিরুদ্ধে তাঁর আগ্রাসী ব্যাটিং চোখে পড়ে। তিনি নিঃসন্দেহে গড়ে উঠছেন একজন পরিপূর্ণ টি-টোয়েন্টি লেগ-স্পিনার হিসেবে, যাঁর মধ্যে রয়েছে ব্যাটে-বলে পার্থক্য গড়ে দেওয়ার যোগ্যতা।
লাহোরের পক্ষ থেকে নিঃসন্দেহে এটি ছিল একটি দূরদর্শী এবং বুদ্ধিদীপ্ত পছন্দ।",emergency
"সবই বুঝলাম কিন্তু কিছুদিন আগে ছাত্রলীগের সাথে এই বান্দা কি করছিল? আর ""আপনি দেশের জন্য কি করেছেন?"" এই মন্তব্যটা কিসের জন্য করেছিল?",emergency
ছাত্র জনতার গণহত্যা সরাসরি জড়িত আওয়ামী লীগের নেতারা প্রকাশ্যে ঘুরে বেড়াচ্ছে। টাকার বিনিময়ে বিএনপি তাদের দলে জায়গা দিচ্ছে বড় বড় পদ দিচ্ছে। শুধুমাত্র এক সাকিব আল হাসান একটি ফেসবুক পোস্ট না দেওয়ায় এসে দেশে,emergency
"সিলেট, চট্টগ্রাম এগুলা তো আর ধানক্ষেত না, তাই ধানক্ষেতরেই বেশি প্রায়োরিটি দিলাম ,আমি ভাই বুঝিনা,সিলেটের মত এত সুন্দর মাঠ এত ভাল উইকেট থাকা সত্ত্বেও সেখানে ম্যাচ দেয়না!",emergency
বাংলাদেশ ক্রিকেটকে সঠিক পথে ফিরিয়ে আনার জন্য পাতানো ম্যাচের কারিগর সুজন চাচা এবং হান্নান সরকারকে গ্রেফতার করা হোক! পাপন সিন্ডিকেটের আর্থিক লুটপাটের সাক্ষী নিজামুদ্দিনকেও গ্রেফতার করা হোক!,emergency
"আজকে মূলত তিনটা বিষয়ে অনুসন্ধানের জন্য বিসিবিতে দুদুক অভিযানে গিয়েছিল!
-মুজিব বর্ষের অনুষ্ঠানে ৭ কোটির জায়গায় খরচ দেখানো হয়েছে ২৫ কোটি!
- বিপিএলের তৃতীয় থেকে দশম আসরে টিকেট থেকে আয় দেখানো হয়েছে মাত্র ১৫ কোটি! যেখানে গত এক আসরেই আয় ১৩ কোটি!",emergency
"দুর্নীতি দমন কমিশনের এই মুভকে পজিটিভলি দেখছি! কিন্ত দুঃখজনক হলেও সত্য , বিসিবির দুর্নীতি এখানেই শেষ নয়! পাপন সিন্ডিকেটের পুরোটা সময় জুড়েই দুর্নীতির এক মহা আখড়ায় পরিণত হয়েছিল বিসিবি! ন্যাশনাল লেভেলে অনুর্ধ ১৪ ,১৬, ১৮ তে দল গঠন প্রক্রিয়াতেও অনেক অনিয়ম হয়েছে",emergency
"দুর্নীতি দমন কমিশন কে বলবো আপনারা শুধু দুইটা লোককে গ্রেফতার করুন! তাহলে পাতানো ম্যাচ এবং বিসিবি থেকে অর্থ লুটপাটের বিষয়গুলো   পুরোপুরি বেরিয়ে আসবে! এক, সাবেক ক্রিকেটার সুজন চাচা! দুই, বিসিবির সিইও নিজামুদ্দিন চৌধুরী!",emergency
"আইপিএল কেন সেরা লীগ জানেন? ২০০-২৫০+ রান চেজ হয় আবার ১১১ রানও চেজ করতে পারে না। বেশির ভাগ ম্যাচই দুই দল হাড্ডাহাড্ডি লড়াই করে।জনপ্রিয়তা, টিআরপি না হয় বাদই দিলাম!
আজকে দুই দলের ১০জন বোলারই উইকেট পাইছে। মেবি টুয়েন্টির রেকর্ড এটা।",emergency
"ক্রিকেট আগে ছিলো ভদ্রলোকের খেলা এখন হয়ে গেছে জুয়াড়িদের খেলা ,মনে হচ্ছে সে ১০০ লাগাইয়া ৫০০ পাইছে সেই খুশিতে পোস্ট কইরা দিছে",emergency
কুইন্টন ডি ককের জায়গায় কি এখন গুরবাজ একাদশে থাকা ডিজার্ভ করে না? কক আর কত ম্যাচ খারাপ খেললে গুরবাজ জায়গা পাবে?,emergency
"তানজিদ তামিমের পুরো ডিপিএল জার্নি। গুরুত্বপূর্ন বিষয় হচ্ছে, তানজিদের বেশির ভাগ উল্লেখযোগ্য ইনিংস ছোট লক্ষ্য তাড়া করতে গিয়ে করা। বড় টার্গেট গুলোতে তেমন জ্বলে উঠতে পারেননি। ",emergency
"আইপিএলে একটু আনএক্সপেক্টেড রেজাল্ট হলেই বলা হয় যে ফিক্সিং হইছে। সে হিসেবে তো বলা যায়, ক্রিকেট ইতিহাসে সবচেয়ে বেশি ফিক্সিং করছে বাংলাদেশ। আমরা ৩ বলে ২ রান নিতে পারিনা, ১০৮ রানের টার্গেটে ৫৮ রানে অল আউট হয়ে যাই",emergency
