Text,Label
প্রবল ঘূর্ণিঝড় রিমালের তাণ্ডবে বাংলাদেশ ও ভারত মিলিয়ে এখন পর্যন্ত ১৫ জনের মৃত্যুর খবর পাওয়া গেছে।, damage
"ঝড় ও জলোচ্ছ্বাসে তলিয়ে গেছে ফসলের ক্ষেত, মাছের ঘের, বিধ্বস্ত হয়েছে বাড়িঘর। যোগাযোগ বিচ্ছিন্ন রয়েছে বেশ কিছু উপজেলা।",  damage
এদিকে ঘূর্ণিঝড় রিমালের প্রভাব পড়েছে ভারতের পশ্চিমবঙ্গেও। এর প্রভাবে কলকাতা ও পশ্চিমবঙ্গে পাঁচ জনের মৃত্যুর খবর পাওয়া গেছে।,damage
"রোববার রাতভর বৃষ্টিতে বিপর্যস্ত হয়েছে কলকাতার বিভিন্ন অংশ, হাওড়া, উত্তর ও দক্ষিণ ২৪ পরগনা, মেদিনীপুর, সুন্দরবনসহ বিভিন্ন অঞ্চল।",damage
রিমালের প্রভাবে রবি ও সোমবার মিলিয়ে পশ্চিমবঙ্গের উপকূলবর্তী বিভিন্ন জেলায় এখন পর্যন্ত ৫ জনের মৃত্যুর খবর পাওয়া গেছে।,damage
"বাগেরহাট, পিরোজপুর, খুলনা, সাতক্ষীরাসহ উপকূলীয় এলাকার অসংখ্য মাছের ঘের, ফসলি জমি তলিয়ে গেছে পানির নিচে।",damage
এখন পর্যন্ত উপকূলীয় ছয়টি জেলায় ১০ জনের মৃত্যুর খবর নিশ্চিত করেছে দুর্যোগ ব্যবস্থাপনা ও ত্রাণ মন্ত্রণালয়।,damage
"প্রতিমন্ত্রী মহিববুর রহমান বলেন, সরকারের প্রস্তুতির কারণে বড় ক্ষয়ক্ষতি হয় নাই। তবে এ পর্যন্ত ১০ জন প্রাণ হারিয়েছে।",damage
র্ণিঝড় রিমালের প্রভাব পড়েছে কলকাতা-সহ পশ্চিমবঙ্গের বিভিন্ন অংশে। ঝড়ে সেখানে পাঁচজনের মৃ্ত্যুর খবর পাওয়া গেছে।,damage
ঘূর্ণিঝড় রিমালের তাণ্ডবে ভারতে প্রাণ গেছে কমপক্ষে ২৯ জনের। ভারি বৃষ্টিতে মিজোরামে পাথর খনি ধ্বসে নিহত কমপক্ষে ১০জন। বৈরি আবহাওয়ার কারণে ব্যাহত হচ্ছে উদ্ধারকাজ। সোমবার (২৭ মে) কলকাতায় ১৯০ মিলিমিটার বৃষ্টিতে এখনো জলাবদ্ধ রাজধানীর প্রধান সড়কগুলো। বিহারের পাশাপাশি পাহাড়ি ৪ রাজ্যে ভারি বৃষ্টির পূর্বাভাস দিয়েছে ভারতের আবহাওয়া দপ্তর।,damage
"ঢাকা হোক কিংবা কলকাতা, সীমান্তের দুই পাড়েই নগরবাসীর ভোগান্তির কারণ জলাবদ্ধতা। ঘূর্ণিঝড় রিমালের প্রভাবে সোমবার পশ্চিমবঙ্গের রাজধানীতে বৃষ্টি হয়েছে প্রায় ১৯০ মিলিমিটার। সবচেয়ে বেশি আড়াইশো মিলিমিটারের বেশি বৃষ্টি রেকর্ড করা হয়েছে বালিগঞ্জে। জোয়ারের কারণে ড্রেনেজ গেটগুলো বন্ধ রাখায় পানিতে টইটুম্বুর কলকাতার প্রধান সড়কগুলো।",damage
মৌসুমের প্রথম ঘূর্ণিঝড়ে ব্যাপক ক্ষয়ক্ষতির পাশাপাশি প্রাণহানি হয়েছে পশ্চিমবঙ্গের উপকূলীয় অঞ্চলগুলোয়। গাছপালা ও বাড়িঘরের পাশাপাশি ভেঙ্গে পড়েছে প্রায় আড়াই হাজার বিদ্যুতের খুঁটি। তাই রাজ্যের অনেক এলাকায় এখনো স্বাভাবিক হয়নি বিদ্যুৎ পরিস্থিতি। অন্যদিকে জোয়ারের পানি না নামায় সুপেয় পানির অভাবে হাজারো বাসিন্দা।,damage
,
"বাসিন্দাদের একজন বলেন, 'আমাদের এখানে ঝড়ে গাছপালা ভেঙ্গে গিয়েছে। বিদ্যুৎ নেই, খাবারের সমস্যা হচ্ছে অনেক।",damage
"পশ্চিমবঙ্গের বিদ্যুৎ বিষয়ক মন্ত্রণালয়ের মন্ত্রী অরুপ বিশ্বাস বলেন, 'ঘূর্ণিঝড়ের কারণে অনেক ক্ষতি হয়েছে। আমাদের ৬২টি সাবস্টেশন ক্ষতিগ্রস্ত হয়। ৪৯টি পুনরায় সচল করা হয়েছে। বিদ্যুতের খুঁটি ক্ষতিগ্রস্ত হয়েছে ২ হাজার ৩৫০টি।",damage
"শুধু বাংলাদেশ ও পশ্চিমবঙ্গেই নয়, রিমাল ক্ষতচিহ্ন রেখে গেছে মিজোরামেও। ভারি বৃষ্টিতে ধসে গেছে রাজ্যের একটি পাথরের খনি। সময় গড়ানোর সঙ্গে বাড়ছে নিহতের সংখ্যা। নিম্নচাপের প্রভাবে বৈরি আবহাওয়ায় ব্যাহত হচ্ছে উদ্ধারকাজ। অন্যদিকে দক্ষিণের রাজ্য তেলেঙ্গানাতে ঝড়ো হাওয়ায় গাছ উপড়ে ও বিদ্যুতায়িত হয়ে প্রাণহানির খবর মিলেছে।",damage
"ঘূর্ণিঝড় রিমালের আগে সুন্দরবনে মাছ ধরতে গিয়ে নৌকাসহ তিন জেলে নিখোঁজ হওয়ার খবর পাওয়া গেছে। আজ (শুক্রবার, ৩১ মে) নিখোঁজ জেলেদের পরিবারের সদস্যরা বিষয়টি জানান। তাদের না ফেরায় উদ্বিগ্ন হয়ে আছে পরিবারের সদস্যরা।",damage
দেশে বিদ্যুতের মোট গ্রাহক চার কোটি ৬৮ লাখ। যার মাধ্যমে দেশের শতভাগ মানুষ বিদ্যুৎ সেবার আওতায় রয়েছে। ঘূর্ণিঝড় রিমালের প্রভাবে দুই কোটি ৭০ লাখের বেশি গ্রাহকের বিদ্যুৎ সরবরাহ বন্ধ রয়েছে। এই হিসাবে দেশের অর্ধেকের বেশি মানুষই বিদ্যুৎহীন অবস্থায় আছে।,damage
দেশের উপকূলীয় এলাকার প্রায় শতভাগ গ্রাহকই বঞ্চিত আছে এই সেবা থেকে। এদিকে ঘূর্ণিঝড়ের প্রভাবে পল্লী বিদ্যুতায়ন বোর্ড (আরইবি) এবং ওয়েস্ট জোন পাওয়ার ডিস্ট্রিবিউশন কম্পানির (ওজোপাডিকো) প্রাথমিকভাবে ক্ষয়ক্ষতি হয়েছে প্রায় ১০০ কোটি টাকার।,damage
"বিদ্যুৎ বিভাগ সূত্রে জানা গেছে, ঘূর্ণিঝড় রিমালের প্রভাবে ৮০টি পল্লী বিদ্যুৎ সমিতির মধ্যে বেশির ভাগ সমিতিতে গ্রাহক সংযোগ আংশিক বা সম্পূর্ণ বন্ধ আছে। বিতরণ কম্পানিটির বৈদ্যুতিক খুঁটি ক্ষতিগ্রস্ত হয়েছে দুই হাজার ৭১৮টি, ট্রান্সফরমার ক্ষতিগ্রস্ত হয়েছে দুই হাজার ৩৬৩টি, স্প্যান (তার ছেঁড়া) ৭১ হাজার ৮৬২টি, ইনসুলেটর ভেঙেছে ২২ হাজার ৮৮৬টি, মিটার ক্ষতিগ্রস্ত ৫৩ হাজার ৪৬৫টি। পল্লী বিদ্যুতের বিতরণ এলাকায় বিদ্যুৎহীন গ্রাহক সংখ্যা দুই কোটি ৬৬ লাখ ২৬ হাজার ৫৫০।",damage
"বাংলাদেশ পল্লী বিদ্যুতায়ন বোর্ডের (আরইবি) পরিচালক (কারিগরি) মো. রফিকুল ইসলাম কালের কণ্ঠকে বলেন, ‘ঘূর্ণিঝড়ের প্রভাবে আমাদের বিতরণ এলাকায় ব্যাপক ক্ষয়ক্ষতি হয়েছে। ",damage
,
,
বিদ্যুৎ বিতরণ আরেকটি কম্পানি ওজোপাডিকো সোমবার পর্যন্ত প্রাথমিক ক্ষয়ক্ষতি হয়েছে পাঁচ কোটি ৭৬ লাখ ৭৫ হাজার ৫০০ টাকা,damage
"ন্দরবানে ঘূর্ণিঝড় হামুনের ঝড়ো বাতাসে বিভিন্ন স্থানে গাছপালা, বিদ্যুতের খুঁটি এবং ঘরবাড়ি ভেঙে পড়েছে। এতে বিদ্যুৎ সরবরাহ লাইন ক্ষতিগ্রস্ত হওয়ায় ১৬ ঘণ্টা বিদ্যুৎ সরবরাহ বন্ধ ছিল জেলায়। আজ বুধবার (২৫ অক্টোবর) বিকেল ৩টায় ত্রুটিপূর্ণ লাইন মেরামতের পর বিদ্যুৎ সরবরাহ পুনরায় চালু করা হয়",damage
