Text,Label
ঝড় এখনই আঘাত হানছে জার্সি ও জার্সিতে সব সেতু বন্ধ সব সেতু বন্ধ ঝড় নিউইয়র্ক ও জার্সিতে সব সেতু বন্ধ হচ্ছে ঝড় এখনই আঘাত হানছে জার্সি ঝড়,advisory
হারিকেন স্যান্ডি সাবওয়েগুলিকে জল দিয়ে পূর্ণ করতে চলেছে৷ আক্ষরিক অর্থেই NYC তলদেশে প্রবাহিত বিশাল ভূগর্ভস্থ নদী থাকবে। #হলিশিট,advisory
1888 সালের পর প্রথমবারের মতো খারাপ আবহাওয়ার জন্য স্টক মার্কেট বন্ধ #স্যান্ডি,advisory
হারিকেন স্যান্ডি বা অন্যথায় ফ্রাঙ্কস্টর্ম নিউ ইয়র্ক সিটির দিকে যাচ্ছে।,advisory
"ওহ মাই গড, নিউ ইয়র্ক সিটি এখন হারিকেন #Sandy দ্বারা প্রভাবিত হয়েছে।",advisory
"নিউ ইয়র্ক সিটি ব্রিজ বন্ধ করার নির্দেশ দিয়েছেন। এই সময়ে শুধুমাত্র স্টেটেন দ্বীপের সেতুগুলিই প্রভাবিত হয়নি। সন্ধ্যা ৭টার মধ্যে সেতু বন্ধ করতে হবে। #স্যান্ডি #নিউইয়র্কসিটি""",advisory
মনে হচ্ছে ঘূর্ণিঝড় বালুকা স্টুরপোর্টে আঘাত হেনেছে! ,advisory
"পরবর্তী বিজ্ঞপ্তি না হওয়া পর্যন্ত গণপরিবহন বন্ধ। কিছু নিউ ইয়র্ক সিটি পাতাল রেল টানেল প্লাবিত হয়েছে। বিমানবন্দরের এয়ার রানওয়ে প্লাবিত হয়েছে।""",advisory
"টরন্টোতে আপনার আলো নিভে গেলে পুনরুদ্ধার করতে কয়েক ঘন্টা থেকে কয়েক দিন সময় লাগবে
#ঘূর্ণিঝড় সান্ডি #সতর্কতা জারি",advisory
"ভারতের আবহাওয়া দপ্তরের তথ্য অনুযায়ী, রিমালের প্রভাবে বাংলাদেশের সীমান্তবর্তী জেলাগুলোতে ১৩০ কিলোমিটার বেগে ঝড়ো হাওয়া ও ভারী বৃষ্টির সম্ভাবনা রয়েছে। সিলেট, রংপুর ও ময়মনসিংহ বিভাগের বাসিন্দাদের জন্য নিম্নলিখিত নির্দেশনা জারি করা হয়েছে:
নদী তীরবর্তী এলাকা ত্যাগ করে নিরাপদ স্থানে যান
জরুরি প্রয়োজনে ৯৯৯ ডায়াল করুন",advisory
"শক্তি সঞ্চয় করে ভারতের দক্ষিণাঞ্চলের দিকে এগিয়ে আসছে ঘূর্ণিঝড় ফেঙ্গাল। আবহাওয়া দপ্তরের পূর্বাভাস শনিবার বিকালেই ঘূর্ণিঝড়টি আঘাত হানবে তামিলনাড়ু- পুডুচেরি উপকূলে। সাতক্ষীরা, যশোর ও খুলনা জেলার বাসিন্দাদের জন্য নিম্নলিখিত নির্দেশনা:
নদী তীরবর্তী বাড়িঘর খালি করার প্রস্তুতি নিন
জরুরি প্রয়োজনে স্থানীয় ইউনিয়ন দুর্যোগ ব্যবস্থাপনা কমিটির সাথে যোগাযোগ করুন
বজ্রপাতের সময় উন্মুক্ত স্থান এড়িয়ে চলুন",advisory
"আবহাওয়া অধিদপ্তরের সতর্কবার্তা: বঙ্গোপসাগরে নতুন ঘূর্ণিঝড় সৃষ্টির আশঙ্কা রয়েছে। উপকূলীয় জেলার বাসিন্দাদের জন্য জরুরি প্রস্তুতি নির্দেশনা:
নভেম্বর মাসের প্রথম সপ্তাহে জরুরি প্রস্তুতি প্যাকেট (শুকনো খাবার, ওষুধ, টর্চ) প্রস্তুত রাখুন
স্থানীয় দুর্যোগ ব্যবস্থাপনা কমিটির সাথে যোগাযোগ তথ্য নোট করে রাখুন",advisory
